,Distance,Run,Missingness,Replicate,CCC,Rand,aRand
144,mesquita_eed,uniform_halflowestscalars,60,5,0.7887691591924282,0.98,0.9599960816486464
145,mesquita_eed,uniform_halflowestscalars,60,4,0.7981424011399822,1.0,1.0
146,mesquita_eed,uniform_halflowestscalars,60,3,0.7874514850218387,0.9604040404040404,0.9208
147,mesquita_eed,uniform_halflowestscalars,60,2,0.8293766411603043,1.0,1.0
148,mesquita_eed,uniform_halflowestscalars,60,1,0.799873987259371,1.0,1.0
149,mesquita_eed,uniform_halflowestscalars,60,0,0.7944345132358108,1.0,1.0
150,mesquita_eed,uniform_halflowestscalars,55,49,0.8143415106872205,0.98,0.9599960816486464
151,mesquita_eed,uniform_halflowestscalars,55,48,0.7980270937634076,0.98,0.9599960816486464
152,mesquita_eed,uniform_halflowestscalars,55,47,0.8017092787506341,1.0,1.0
153,mesquita_eed,uniform_halflowestscalars,55,46,0.7858355320220343,0.98,0.9599960816486464
154,mesquita_eed,uniform_halflowestscalars,55,45,0.7353825095629511,0.98,0.9599960816486464
155,mesquita_eed,uniform_halflowestscalars,55,44,0.8236576460376254,1.0,1.0
156,mesquita_eed,uniform_halflowestscalars,55,43,0.7951160577141053,1.0,1.0
157,mesquita_eed,uniform_halflowestscalars,55,42,0.849968468133455,1.0,1.0
158,mesquita_eed,uniform_halflowestscalars,55,41,0.7730584685425615,0.98,0.9599960816486464
159,mesquita_eed,uniform_halflowestscalars,55,40,0.7529622844042275,0.9604040404040404,0.9208012930401136
160,mesquita_eed,uniform_halflowestscalars,55,39,0.7610009509243097,1.0,1.0
161,mesquita_eed,uniform_halflowestscalars,55,38,0.8358304812994342,1.0,1.0
162,mesquita_eed,uniform_halflowestscalars,55,37,0.8221921203280587,1.0,1.0
163,mesquita_eed,uniform_halflowestscalars,55,36,0.8192706984105526,1.0,1.0
164,mesquita_eed,uniform_halflowestscalars,55,35,0.8132122589284789,0.98,0.9599960816486464
165,mesquita_eed,uniform_halflowestscalars,55,34,0.775550682597952,0.98,0.9599960816486464
166,mesquita_eed,uniform_halflowestscalars,55,33,0.8358501156547753,1.0,1.0
167,mesquita_eed,uniform_halflowestscalars,55,32,0.8169747117924999,1.0,1.0
168,mesquita_eed,uniform_halflowestscalars,55,31,0.8065192584893562,0.98,0.9599960816486464
169,mesquita_eed,uniform_halflowestscalars,55,30,0.7843925159851723,0.98,0.9599960816486464
170,mesquita_eed,uniform_halflowestscalars,55,29,0.8154598455152642,1.0,1.0
171,mesquita_eed,uniform_halflowestscalars,55,28,0.7876781932167415,0.98,0.9599960816486464
172,mesquita_eed,uniform_halflowestscalars,55,27,0.7924873674148989,1.0,1.0
173,mesquita_eed,uniform_halflowestscalars,55,26,0.7850459447858859,0.98,0.9599960816486464
174,mesquita_eed,uniform_halflowestscalars,55,25,0.7764387878839585,0.98,0.9599960816486464
175,mesquita_eed,uniform_halflowestscalars,55,24,0.8214131810831686,0.98,0.9599960816486464
176,mesquita_eed,uniform_halflowestscalars,55,23,0.8093098749609318,1.0,1.0
177,mesquita_eed,uniform_halflowestscalars,55,22,0.7799648425366832,0.98,0.9599960816486464
178,mesquita_eed,uniform_halflowestscalars,55,21,0.8131892716989249,1.0,1.0
179,mesquita_eed,uniform_halflowestscalars,55,20,0.79752566882498,0.98,0.9599960816486464
180,mesquita_eed,uniform_halflowestscalars,55,19,0.8030896382173662,0.4951515151515152,0.0
181,mesquita_eed,uniform_halflowestscalars,55,18,0.7919853571721626,0.9412121212121212,0.8824127248460211
182,mesquita_eed,uniform_halflowestscalars,55,17,0.7907470047832665,1.0,1.0
183,mesquita_eed,uniform_halflowestscalars,55,16,0.8347251980594574,1.0,1.0
